,Unnamed: 0,n,token,lemma,pos
243,243,35,Πελοποννησίους,Πελοποννήσιος,n-p---ma-
244,244,36,ὅτι,ὅτι2,c--------
245,245,37,πλείστους,πλεῖστος,a-p---ma-
246,246,38,καὶ,καί,d--------
247,247,39,βελτίστους,βέλτιστος,a-p---ma-
248,248,40,",",",",u--------
249,249,41,ὡς,ὡς,c--------
250,250,42,ἐπιβουλεύοντος,ἐπιβουλεύω,v-sppamg-
251,251,43,Τισσαφέρνους,Τισσαφέρνης,n-s---mg-
252,252,44,ταῖς,ὁ,l-p---fd-
253,253,45,πόλεσι,πόλις,n-p---fd-
254,254,46,.,.,u--------
255,255,47,καὶ,καί,d--------
256,256,48,γὰρ,γάρ,g--------
257,257,49,ἦσαν,εἰμί,v3piia---
258,258,50,αἱ,ὁ,l-p---fn-
259,259,51,Ἰωνικαὶ,Ἰωνικός,a-p---fn-
260,260,52,πόλεις,πόλις,n-p---fn-
261,261,53,Τισσαφέρνους,Τισσαφέρνης,n-s---mg-
262,262,54,τὸ,ὁ,l-s---na-
263,263,55,ἀρχαῖον,ἀρχαῖος,a-s---na-
264,264,56,ἐκ,ἐκ,r--------
265,265,57,βασιλέως,βασιλεύς,n-s---mg-
266,266,58,δεδομέναι,δίδωμι,v-prpefn-
267,267,59,",",",",u--------
268,268,60,τότε,τότε,d--------
269,269,61,δὲ,δέ,g--------
270,270,62,ἀφειστήκεσαν,ἀφίστημι,v1spoa---
271,271,63,πρὸς,πρός,r--------
272,272,64,Κῦρον,Κῦρος,n-s---ma-
273,273,65,πᾶσαι,πᾶς,a-p---fn-
274,274,66,πλὴν,πλήν,r--------
275,275,67,Μιλήτου,Μίλητος,n-s---fg-
276,276,68,·,·,u--------
277,277,1,ἐν,ἐν,r--------
278,278,2,Μιλήτῳ,Μίλητος,n-s---fd-
279,279,3,δὲ,δέ,g--------
280,280,4,Τισσαφέρνης,Τισσαφέρνης,n-s---mn-
281,281,5,προαισθόμενος,προαισθάνομαι,v-sapmmn-
282,282,6,τὰ,ὁ,l-p---na-
283,283,7,αὐτὰ,αὐτός,a-p---na-
284,284,8,ταῦτα,οὗτος,a-p---na-
285,285,9,βουλευομένους,βουλεύω,v-pppema-
286,286,10,ἀποστῆναι,ἀφίστημι,v--ana---
287,287,11,πρὸς,πρός,r--------
288,288,12,Κῦρον,Κῦρος,n-s---ma-
289,289,13,",",",",u--------
290,290,14,τοὺς,ὅς,p-p---ma-
291,291,15,μὲν,μέν,g--------
292,292,16,αὐτῶν,αὐτός,p-p---mg-
293,293,17,ἀπέκτεινε,ἀποκτείνω,v3saia---
294,294,18,τοὺς,ὁ,l-p---ma-
295,295,19,δʼ,δέ,g--------
296,296,20,ἐξέβαλεν,ἐκβάλλω,v3saia---
297,297,21,.,.,u--------
298,298,22,ὁ,ὁ,l-s---mn-
299,299,23,δὲ,δέ,g--------
300,300,24,Κῦρος,Κῦρος,n-s---mn-
301,301,25,ὑπολαβὼν,ὑπολαμβάνω,v-sapamn-
302,302,26,τοὺς,ὁ,l-p---ma-
303,303,27,φεύγοντας,φεύγω,v-pppama-
304,304,28,συλλέξας,συλλέγω,v-sapamn-
305,305,29,στράτευμα,στράτευμα,n-s---na-
306,306,30,ἐπολιόρκει,πολιορκέω,v3siia---
307,307,31,Μίλητον,Μίλητος,n-s---fa-
308,308,32,καὶ,καί,d--------
309,309,33,κατὰ,κατά,r--------
310,310,34,γῆν,γῆ,n-s---fa-
