,line,token,lemma
475,7003,Ἀφίδνῳ,Ἄφιδνος
476,7008,διακελευσάμενος,διακελεύομαι
477,7020,ἀποδιδούς,ἀποδίδωμι
478,7030,Μολοσσῶν,Μολοσσός
479,7047,κυνὶ,κύων
480,7054,μνωμένους,μνάομαι
481,7063,μέντοι,μέντοι
482,7072,ἁρπασομένους,ἁρπάζω
483,7073,πυνθανόμενος,πυνθάνομαι
484,7084,κυνός,κύων
485,7122,συνίστη,συνίστημι
486,7140,εὐπατριδῶν,εὐπατρίδης
487,7143,ἓν,εἷς
488,7166,ἀπεστερημένους,ἀποστερέω
489,7180,ἕνα,ἕνος
490,7182,ἔπηλυν,ἔπηλυς
491,7190,πραγματευομένου,πραγματεύομαι
492,7200,Τυνδαριδῶν,Τυνδαρίδης
493,7201,ἐπελθόντων,ἐπέρχομαι
494,7217,οὐδὲν,οὐδείς
495,7225,ἀποκριναμένων,ἀποκρίνω
496,7230,μήτε,μήτε
497,7232,μήτε,μήτε
498,7245,ᾐσθημένος,αἰσθάνομαι
499,7248,τινι,τις
500,7273,Λακεδαιμόνιοι,Λακεδαιμόνιος
501,7302,ἀφʼ,ἀπό
502,7311,ἀφʼ,ἀπό
503,7344,Ἄλυκον,Ἄλυκος
504,7350,συστρατευόμενον,συστρατεύω
505,7361,Ἄλυκον,Ἄλυκος
506,7373,Ἀφίδνας,Ἄφιδνα
507,7376,Ἄλυκον,Ἄλυκος
508,7381,ταυτὶ,οὗτος
509,7387,Ἀλύκου,Ἄλυκος
510,7392,ποτʼ,ποτε
511,7394,μαρνάμενον,μάρναμαι
512,7419,Ἀφιδνῶν,Ἄφιδνα
513,7448,ἄλλων,ἄλλος
514,7472,μηδὲν,μηδείς
515,7485,Ἀφίδνου,Ἄφιδνος
516,7513,μηδένα,μηδείς
517,7525,ἐπιμελομένους,ἐπιμελέομαι
518,7555,Ἀττικοὺς,Ἀττικός
519,7556,ἀνεκὰς,ἀνεκάς
520,7586,ἕπεσθαι,ἕπομαι
521,7640,Αἴθρας,Αἴθρα
522,7664,Τροιζηνίων,Τροιζήνιος
523,7685,Μολοσσοῦ,Μολοσσός
524,7701,πράξοντες,πράσσω
525,7708,βαρέας,βαρύς
526,7726,οὐδὲν,οὐδείς
527,7767,τεμένη,τέμενος
528,7772,ἐξελούσης,ἐξαιρέω
529,7780,Θησείων,Θησεῖα
530,7792,βουλόμενος,βούλομαι
531,7804,ταραχάς,ταραχή
532,7829,βουλόμενον,βούλομαι
533,7862,Γαργηττοῖ,Γαργηττός
534,7874,Ἀρατήριον,Ἀρατήριον
535,7960,πετρῶν,πέτρα
536,7983,οὐδεὶς,οὐδείς
537,8020,ἄλλα,ἄλλος
538,8034,μαχομένων,μάχομαι
539,8047,βαρβάρους,βάρβαρος
540,8056,μαντευομένοις,μαντεύομαι
541,8067,θεμένους,τίθημι
542,8105,φιλοτιμούμενος,φιλοτιμέομαι
543,8106,ἐξανευρεῖν,ἐξανευρίσκω
544,8108,ἀετοῦ,ἀετός
545,8122,ὄνυξι,ὄνυξ
546,8124,τινὶ,τις
547,8137,παρακειμένη,παράκειμαι
548,8138,χαλκῆ,χαλκεύς
549,8153,Ἀθηναῖοι,Ἀθηναῖος
550,8162,ἐπανερχόμενον,ἐπανέρχομαι
551,8177,γυμνάσιον,γυμνάσιον
552,8186,ταπεινοτέροις,ταπεινός
553,8188,δεδιόσι,δείδω
554,8189,κρείττονας,κρείσσων
555,8196,τινος,τις
556,8201,προσδεχομένου,προσδέχομαι
557,8205,ταπεινοτέρων,ταπεινός
558,8221,ἠϊθέων,ἠίθεος
559,8232,ὀγδόαις,ὄγδοος
560,8272,ὀγδόαις,ὄγδοος
561,8277,ὀγδοὰς,ὀγδοάς
562,8279,ἀπʼ,ἀπό
563,8280,ἀρτίου,ἄρτιος
564,8286,τετραγώνου,τετράγωνος
565,8287,διπλασία,διπλάσιος
566,8293,οἰκεῖον,οἰκέω
567,8303,γαιήοχον,γαιήοχος
568,8344,μαχόμενος,μάχομαι
569,8382,εἴγε,εἰ
570,8402,οὐδενὸς,οὐδείς
571,8417,Ἀμύκλαν,Ἀμύκλας
572,8428,Ἀντισθένης,Ἀντισθένης
573,8441,οὐδὲν,οὐδείς
574,8515,Ἀριστοφάνης,Ἀριστοφάνης
575,8557,διακεχλιδώς,διαχλίδω
576,8782,ἄλλοις,ἄλλος
577,8802,οὐδὲν,οὐδείς
578,8852,αὐλείτωσαν,αὐλέω
579,8857,Θηβαίων,Θηβαῖος
580,8910,ἄλλους,ἄλλος
581,8960,τινὰ,τις
582,8964,βουλομένου,βούλομαι
583,8981,μιᾷ,εἷς
584,9004,τινὰ,τις
585,9026,διʼ,διά
586,9042,ἄλλοι,ἄλλος
587,9092,συμμάχων,
588,9112,οὐδένα,οὐδείς
589,9210,ὣς,ὅς
590,9260,κτώμενος,κτάομαι
591,9304,δε,
592,9305,τινας,τις
593,9338,θεασάμενος,θεάομαι
594,9381,κεχρημένος,χράομαι
595,9390,Ἄνοτος,
596,9418,ἕν,εἷς
597,9427,κεκτημένον,κτάομαι
598,9436,ἑκατὸν,ἑκατόν
599,9445,γελάσας,γελάω
600,9455,φιλοφρονηθεὶς,φιλοφρονέομαι
601,9467,ὠνουμένους,ὠνέομαι
602,9475,ἀντωνούμενον,ἀντωνέομαι
603,9477,παραιτουμένου,παραιτέομαι
604,9546,ἐμὲ,ἐγώ
605,9551,ἐμὸς,ἐμός
606,9552,φίλος,φίλος
607,9557,ταῦτʼ,οὗτος
608,9600,τάλαντον,τάλαντον
609,9671,ἄλλων,ἄλλος
610,9681,ὑφʼ,ὑφή
611,9796,ψυχροῦ,ψυχρόομαι
612,9799,σύνεισι,σύνειμι
613,9810,διάπλεων,διάπλεως
614,9813,ὁσάκις,ὁσάκις
615,9852,μηδὲν,μηδείς
616,9889,βουλόμενος,βούλομαι
617,9903,καθʼ,καθά
618,10004,βουλόμενος,βούλομαι
619,10056,ἐπικειμένων,ἐπίκειμαι
620,10058,πολεμίων,πολέμιος
621,10072,Καλλιου,
622,10094,τινος,τις
623,10122,ἅμʼ,ἅμα
624,10165,Ἱππαρέτης,Ἱππαρέτη
625,10187,Ἱππαρέτην,Ἱππαρέτη
626,10189,δέκα,δέκα
627,10193,μέντοι,μέντοι
628,10197,δέκα,δέκα
629,10224,ἄνπερ,ἐάν
630,10238,Ἱππαρέτη,Ἱππαρέτη
631,10242,ὑπʼ,ὑπό
632,10285,ἀλλʼ,ἀλλά
633,10310,μηδενὸς,μηδείς
634,10317,μέντοι,μέντοι
635,10364,ἐγγένηται,ἐγγίγνομαι
636,10373,κυνὸς,κύων
637,10383,ἑβδομήκοντα,ἑβδομήκοντα
638,10385,ἐωνημένος,ὠνέομαι
639,10397,συνήθων,συνήθης
640,10404,κυνὶ,κύων
641,10540,φίλων,φίλος
642,10547,ἀπʼ,ἀπό
643,10548,οὐδενὸς,οὐδείς
644,10591,ἄλλοις,ἄλλος
645,10644,μεταξὺ,μεταξύ
646,10670,ἑπτὰ,ἑπτά
647,10673,οὐδεὶς,οὐδείς
648,10722,σὲ,σός
649,10732,νίκα,νίκη
650,10738,μηδεὶς,μηδείς
651,10751,τʼ,σύ
652,10752,ἀπονητί,ἀπονητί
653,10763,μέντοι,μέντοι
654,10780,Ἐφέσιοι,Ἐφέσιος
655,10790,Χίων,Χίος
656,10795,Λέσβιοι,Λέσβιος
657,10809,τις,τις
658,10811,κακοήθεια,κακοήθεια
659,10833,φίλος,φίλος
660,10843,πυνθανόμενος,πυνθάνομαι
661,10846,Ἀργείοις,Ἀργεῖος
662,10855,δυνάμενον,δύναμαι
663,10857,φίλους,φίλος
664,10863,πρίασθαι,πρίασθαι
665,10867,πριάμενος,πρίασθαι
666,10882,μαρτυρόμενον,μαρτύρομαι
667,10883,θεοὺς,θεός
668,10979,ἄλλοις,ἄλλος
669,11016,τις,τις
670,11027,ἄλλων,ἄλλος
671,11038,κεκτημένης,κτάομαι
672,11053,τις,τις
673,11070,τι,τις
674,11103,οὐδενὶ,οὐδείς
675,11143,παραμυθούμενοι,παραμυθέομαι
